date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:11:23	3107/3107	---MCZ	200	added ('OK')	text/html	date:Tue,%2022%20May%202018%2019:11:22%20GMT	https://summitcds.myschoolapp.com/app	C:/copiedSites/scd/scd/summitcds.myschoolapp.com/app.html	(from )
15:11:24	65/65	---MCZ	200	added ('OK')	text/plain	etag:W/%2227b9917da1f1d11:0%22	https://summitcds.myschoolapp.com/robots.txt		(from )
15:11:27	1357/1357	---MCZ	200	added ('OK')	text/css	date:Wed,%2013%20Dec%202017%2018:13:39%20GMT	http://libs-w2.myschoolapp.com/skylo/skylo.css	C:/copiedSites/scd/scd/libs-w2.myschoolapp.com/skylo/skylo.css	(from https://summitcds.myschoolapp.com/app)
15:11:29	465272/465272	---MCZ	200	added ('OK')	text/css	etag:%222a326d4ee5b9d21:0%22	https://sky.blackbaudcdn.net/skyux/1.14.0/css/sky-bundle.css	C:/copiedSites/scd/scd/sky.blackbaudcdn.net/skyux/1.14.0/css/sky-bundle.css	(from https://summitcds.myschoolapp.com/app)
15:11:29	292755/292755	---MCZ	200	added ('OK')	text/css	date:Tue,%2015%20May%202018%2019:25:34%20GMT	http://src-w2.myschoolapp.com/1.52.18135.1/minify/ui.css	C:/copiedSites/scd/scd/src-w2.myschoolapp.com/1.52.18135.1/minify/ui.css	(from https://summitcds.myschoolapp.com/app)
15:11:29	9749/9749	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2013%20Dec%202017%2017:56:21%20GMT	http://libs-w2.myschoolapp.com/headJs/1.0.3.cd/head.min.js	C:/copiedSites/scd/scd/libs-w2.myschoolapp.com/headJs/1.0.3.cd/head.min.js	(from https://summitcds.myschoolapp.com/app)
15:11:29	6353/6353	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2013%20Dec%202017%2017:52:49%20GMT	http://libs-w2.myschoolapp.com/es6-promise/4.1.1/es6-promise.auto.min.js	C:/copiedSites/scd/scd/libs-w2.myschoolapp.com/es6-promise/4.1.1/es6-promise.auto.min.js	(from https://summitcds.myschoolapp.com/app)
15:11:30	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%225fe1544be5b9d21:0%22	https://sky.blackbaudcdn.net/skyux/1.14.0/css/fonts/fontawesome-webfont.eot?v=4.7.0	C:/copiedSites/scd/scd/sky.blackbaudcdn.net/skyux/1.14.0/css/fonts/fontawesome-webfont3e6e.eot	(from https://sky.blackbaudcdn.net/skyux/1.14.0/css/sky-bundle.css)
15:11:30	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%225fe1544be5b9d21:0%22	https://sky.blackbaudcdn.net/skyux/1.14.0/css/fonts/fontawesome-webfont.eot?	C:/copiedSites/scd/scd/sky.blackbaudcdn.net/skyux/1.14.0/css/fonts/fontawesome-webfontd41d.eot	(from https://sky.blackbaudcdn.net/skyux/1.14.0/css/sky-bundle.css)
15:11:30	77160/77160	---M--	200	added ('OK')	application/x-woff2	etag:%22cfe3604ce5b9d21:0%22	https://sky.blackbaudcdn.net/skyux/1.14.0/css/fonts/fontawesome-webfont.woff2?v=4.7.0	C:/copiedSites/scd/scd/sky.blackbaudcdn.net/skyux/1.14.0/css/fonts/fontawesome-webfont3e6e.woff2	(from https://sky.blackbaudcdn.net/skyux/1.14.0/css/sky-bundle.css)
15:11:31	98024/98024	---M--	200	added ('OK')	application/x-woff	etag:%227f9f414ce5b9d21:0%22	https://sky.blackbaudcdn.net/skyux/1.14.0/css/fonts/fontawesome-webfont.woff?v=4.7.0	C:/copiedSites/scd/scd/sky.blackbaudcdn.net/skyux/1.14.0/css/fonts/fontawesome-webfont3e6e.woff	(from https://sky.blackbaudcdn.net/skyux/1.14.0/css/sky-bundle.css)
15:11:31	165548/165548	---M--	200	added ('OK')	application/octet-stream	etag:%2242df244ce5b9d21:0%22	https://sky.blackbaudcdn.net/skyux/1.14.0/css/fonts/fontawesome-webfont.ttf?v=4.7.0	C:/copiedSites/scd/scd/sky.blackbaudcdn.net/skyux/1.14.0/css/fonts/fontawesome-webfont3e6e.ttf	(from https://sky.blackbaudcdn.net/skyux/1.14.0/css/sky-bundle.css)
15:11:31	16905/16905	---M--	200	added ('OK')	image/svg+xml	etag:%22156b2c4de5b9d21:0%22	https://sky.blackbaudcdn.net/skyux/1.14.0/css/images/broken.svg	C:/copiedSites/scd/scd/sky.blackbaudcdn.net/skyux/1.14.0/css/images/broken.svg	(from https://sky.blackbaudcdn.net/skyux/1.14.0/css/sky-bundle.css)
15:11:32	12297/12297	---M--	200	added ('OK')	image/svg+xml	etag:%223ecc3f4de5b9d21:0%22	https://sky.blackbaudcdn.net/skyux/1.14.0/css/images/construction.svg	C:/copiedSites/scd/scd/sky.blackbaudcdn.net/skyux/1.14.0/css/images/construction.svg	(from https://sky.blackbaudcdn.net/skyux/1.14.0/css/sky-bundle.css)
